prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
m0bj7nwhf4,Webb,Jacob,,1993,8,15,webbja01,,19274,657097,10442,webbja01,11195
m1c3rtnmz0,Bradley,Taj,,2001,3,20,bradlta01,,22543,671737,11588,bradlta01,12554
m1v8w8mkzg,Holmes,Clay,,1993,3,27,holmecl01,,13649,605280,9555,holmecl01,10569
m1wbxnmxhm,Lopez,Jorge,,1993,2,10,lopezjo02,,14527,605347,9173,lopezjo02,10096
m2dxhdqby4,Treinen,Blake,,1988,6,30,treinbl01,,12572,595014,8756,treinbl01,9672
m2zerjrkqr,Clement,Ernie,,1996,3,22,clemeer01,,20352,676391,10925,clemeer01,11892
m3g9r7emr4,Romano,Jordan,,1993,4,21,romanjo03,,16122,605447,10518,romanjo03,11253
m4krttj5c4,Yelich,Christian,,1991,12,5,yelicch01,,11477,592885,7903,yelicch01,9320
m4mphhkv98,Nola,Aaron,,1993,6,4,nolaaa01,,16149,605400,8961,nolaaa01,9882
m5kxx8nn64,Renfroe,Hunter,,1992,1,28,renfrhu01,,15464,592669,8968,renfrhu01,9889
mcx9n2mv08,Varsho,Daulton,,1996,7,2,varshda01,,19918,662139,10180,varshda01,10843
mdjaycqmew,Refsnyder,Robert,,1991,3,26,refsnro01,,13770,608701,8929,refsnro01,9851
mdpc7k2a1w,Sosa,Edmundo,,1996,3,6,sosaed01,,17022,624641,9557,sosaed01,10594
mf7njwnsp4,Doyle,Brenton,,1998,5,14,doylebr02,,25479,686668,11653,doylebr02,12136
mfyrwrt5ar,Kelly,Merrill,,1988,10,14,kellyme01,,11156,518876,10506,kellyme01,11251
mg83p87zkc,Blanco,Dairon,,1993,4,26,blancda02,,19779,680118,11474,blancda02,12619
mhk228q9hc,Webb,Logan,,1996,11,18,webblo01,,17995,657277,10480,webblo01,11235
mjbnspn9g8,Ober,Bailey,,1995,7,12,oberba01,,21224,641927,11159,oberba01,12096
mjbr4xecyr,Puk,A.J.,,1995,4,25,pukaj01,,19343,640462,9792,pukaj01,10548
mkpe13z6f4,Kirby,George,,1998,2,4,kirbyge01,,25436,669923,10874,kirbyge01,11826
mmyze9y6d8,Seymour,Ian,,1998,12,13,seymoia01,,sa3014512,693855,11420,seymoia01,60418
mnj5sxk050,Siri,Jose,,1995,7,22,sirijo01,,17452,642350,9907,sirijo01,10865
mnkhmbphy8,Williams,Devin,,1994,9,21,willide03,,15816,642207,10665,willide03,11628
mryg64qwx4,Alcantara,Kevin,,2002,7,12,alcanke01,,25971,682634,10406,alcanke01,11802
msx71c7d8m,Cabrera,Oswaldo,,1999,3,1,cabreos01,,21707,665828,11391,cabreos01,12331
mszgv1nvtg,Anthony,Roman,,2004,5,13,anthoro01,,sa3020211,701350,11948,anthoro01,60108
mt51ej88t4,Pena,Jeremy,,1997,9,22,penaje02,,21636,665161,11309,penaje01,11768
mxkkdd20g0,Gore,MacKenzie,,1999,2,24,gorema01,,22201,669022,9973,gorema01,10940
mxvacegr04,Rosario,Amed,,1995,11,20,rosaram01,,15518,642708,9500,rosaram01,10233
mz04w003jg,Johnson,Pierce,,1991,5,10,johnspi01,,13435,572955,8645,johnspi01,9559
mzksxqxkz4,Scherzer,Max,,1984,7,27,scherma01,,3137,453286,6837,scherma01,8193
mznyw2vjm8,Bailey,Patrick,,1999,5,29,bailepa01,,27478,672275,11102,bailepa01,12054
n15xhbvvmr,Leclerc,Jose,,1993,12,19,leclejo01,,14524,600917,9239,leclejo01,10336
n1j5x0snm4,Bader,Harrison,,1994,6,3,baderha01,,18030,664056,9710,baderha01,10591
n57e3gtvtc,Veen,Zac,,2001,12,12,veenza01,,27770,691728,11331,veenza01,12133
