prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,espn_id,gsis_id,nffc_id,pfr_id,sleeper_id,sportradar_id,wikidata_id,yahoo_id
v2kj0h5w6d,Whittington,Noah,,2001,12,13,4432631,00-0041312,23541,WhitNo00,13437,e656bff0-4322-11f1-a39d-09ec94a91f1f,Q136051141,43197
vdedn42f68,Lawrence,Trevor,,1999,10,6,4360310,00-0036971,18779,LawrTr00,7523,aaa8b42c-4d87-45f6-bfd2-e31cfed9a736,Q42225228,33389
vj89czy6p4,Fields,Justin,,1999,3,5,4362887,00-0036945,18783,FielJu00,7591,cf15be8f-9117-4531-a517-2b9c7cb3e9e1,Q52715014,33399
vr68v78y64,Jordan,Jawhar,,1999,8,18,4429939,00-0039405,21163,JordJa00,11588,d3ddb80f-6f08-4594-be42-4c2f0716f4ef,Q122976631,41064
vt838jcct4,Jones,Aaron,,1994,12,2,3042519,00-0033293,15392,JoneAa00,4199,27dd5b6e-ea65-4622-a6b4-460fd144407c,Q30122536,30295
w4hbw6wjzw,Gray,Eric,,1999,11,4,4570561,00-0038396,19448,GrayEr01,10223,dcc536c1-36f2-4e34-8028-ccf32d930018,Q105320431,40198
wbxxcs6f34,Perine,Samaje,,1995,9,16,3116389,00-0033526,15362,PeriSa00,4147,e601812f-ce24-4e99-bee0-e33c1e9014e4,Q18572038,30227
weeyz1zb6r,Benson,Trey,,2002,7,23,4429275,00-0039921,21135,BensTr01,11589,0c1253f2-1822-445d-8590-fea6fd32703f,Q115222279,40958
wp36qe6rpw,Etienne,Travis,,1999,1,26,4239996,00-0036973,18770,EtieTr00,7543,970693f0-0af4-4627-ac0c-bf519f7433ee,Q56651173,33413
wshy1g3sjr,Love,Jeremiyah,,2005,5,31,4870808,00-0041027,22930,LoveJe00,13287,ca61f1e4-5a51-45b8-b8e3-f6564d9c2648,Q129281609,42625
x1tpmcrwsw,Washington,Mike,,2003,7,3,4686658,00-0040878,22955,WashMi00,13305,b783f45a-16ea-4145-9f3a-fafaa1bb0058,Q137042890,42744
x6v43m6kp0,Strong,Pierre,,1998,12,10,4249836,00-0038098,19479,StroPi00,8116,8a9a3c7f-57a1-4064-9bda-2c7fad7b5c01,Q109182340,34083
x90w8hx7j4,Nowakowski,Riley,,2002,6,30,4693370,00-0041398,23207,NowaRi00,13433,d85be8f9-009d-4de5-838d-1cb07e4105cc,Q136850221,42803
x9yhflcxk8,Miller,Kendre,,2002,6,11,4599739,00-0038551,20304,MillKe01,9757,66627686-34fe-4599-84ac-e436fd7d798a,Q114919071,40108
xc1cxd8cxh,Sanders,Shedeur,,2002,2,7,4432762,00-0040668,22056,SandSh00,12524,270e09bc-8bf8-44b0-87ed-1fd014de4ab7,Q111441081,41930
xeev31h0j0,Coleman,Jonah,,2003,8,20,4702555,00-0041496,22941,ColeJo00,13345,0ff54d6c-4d2a-4974-9815-b889e7dc293e,Q124352406,42730
xsh30yq5t4,Corum,Blake,,2000,11,25,4429096,00-0039738,20278,CoruBl00,11586,93ba1da2-3679-4ddc-9687-0802349f9ee2,Q100795875,40962
xskgvvvclr,Dobbins,J.K.,,1998,12,17,4241985,00-0036158,17963,DobbJK00,6806,a57b9914-4315-4295-98b4-9b348c52d6a1,Q40059201,32725
xt0g9xz8e4,Mafah,Phil,,2002,10,24,4431562,00-0040021,22305,MafaPh00,12738,54b97d06-1639-46a3-9dcc-67320687281d,Q123416724,42018
yerpehcl0m,Willis,Malik,,1999,5,25,4242512,00-0038128,19458,WillMa12,8161,55aefcf9-4dfb-4994-883f-4d537a6f1ddb,Q101247586,34042
ypzcrf33b4,Croskey-Merritt,Jacory,,2001,4,12,4575131,00-0040242,22130,CrosJa00,12533,202b8be6-40d2-49ed-b256-312ac45ec70f,Q132063724,42010
z1042rsrxw,Davis,Malik,,1998,11,26,4240603,00-0037563,20100,DaviMa02,8800,7caf1f90-d30d-11ec-8b77-45b1765fd110,Q114313913,34610
z6tbtr7ph0,Jeanty,Ashton,,2003,12,2,4890973,00-0040122,22055,JeanAs00,12527,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,Q122784078,41791
zjr65nww0w,Shough,Tyler,,1999,9,28,4360689,00-0040743,22220,ShouTy00,12545,94b8f9e1-3109-4429-8f71-4f79d7588237,Q90415917,41825
zsv899yhkh,Bigsby,Tank,,2002,8,30,4429013,00-0038555,20279,BigsTa00,9225,2034916c-8062-46e3-8d0c-d0dec694e2d1,Q100561971,40095
zv3z421nm0,Tuten,Bhayshul,,2002,2,14,4882093,00-0040719,22106,TuteBh00,12490,26d4b13e-a555-4519-9356-cd16c65384e7,Q130376111,41900
